Word, Definition
fricative,"A consonant, such as f or s in English, produced by the forcing of breath through a constricted passage. Also called spirant."
anchorite,A person who has retired into seclusion for religious reasons.
majuscule,"A large letter, either capital or uncial, used in writing or printing."
accede,"To give one's consent, often at the insistence of another; concede. See Synonyms at assent."
bathetic,Characterized by bathos. See Synonyms at sentimental.
shiva,Judaism   A seven-day period of formal mourning observed after the funeral of a close relative.
corticate,Having a cortex or a similar specialized outer layer.
avuncular,Of or having to do with an uncle.
meatus,"A body opening or passage, such as the opening of the ear or the urethral canal."
ablated,Simple past tense and past participle of ablate.
hauteur,Haughtiness in bearing and attitude; arrogance.
pendentive,Architecture   A triangular section of vaulting between the rim of a dome and each adjacent pair of the arches that support it.
aberration,A deviation from the proper or expected course. See Synonyms at deviation.
palimpsest,"A manuscript, typically of papyrus or parchment, that has been written on more than once, with the earlier writing incompletely erased and often legible."
phatic,"Of, relating to, or being speech used to share feelings or to establish a mood of sociability rather than to communicate information or ideas."
conflagration,A large destructive fire.
inimitable,Defying imitation; matchless.
puerile,Belonging to childhood; juvenile.
ignominy,Great personal dishonor or humiliation.
spoonerism,"A transposition of sounds of two or more words, especially a ludicrous one, such as Let me sew you to your sheet for Let me show you to your seat."
subjoin,To add at the end; append.
timorous,Full of apprehensiveness; timid.
demur,To voice opposition; object:  demurred at the suggestion.  See Synonyms at object.
insouciant,Marked by blithe unconcern; nonchalant.
adroit,Dexterous; deft.
frenetic,Wildly excited or active; frantic; frenzied.
striated,Having parallel lines or grooves on the surface.
fulvous,Tawny-coloured.
zygomatic,"Of, relating to, or located in the area of the zygoma:  a zygomatic muscle. "
hirsute,Covered with hair; hairy.
prurient,Inordinately interested in matters of sex; lascivious.
epicanthic,That partially covers the inner angle of the eye
finial,"Architecture   A sculptured ornament, often in the shape of a leaf or flower, at the top of a gable, pinnacle, or similar structure."
selvage,The edge of a fabric that is woven so that it will not fray or ravel.
meninges,Plural of meninx.
abject,Brought low in condition or status. See Synonyms at mean2.
codicil,Law   A supplement or appendix to a will.
bilk,"To defraud, cheat, or swindle:  made millions bilking wealthy clients on art sales. "
apocryphal,Of questionable authorship or authenticity.
bedizen,To ornament or dress in a showy or gaudy manner.
mordant,Bitingly sarcastic:  mordant satire. 
sobriquet,An affectionate or humorous nickname.
concomitant,Occurring or existing concurrently; attendant. See Synonyms at contemporary.
kohl,"A cosmetic preparation, such as powdered antimony sulfide, used especially in the Middle East to darken the rims of the eyelids."
lascivious,Given to or expressing lust; lecherous.
lugubrious,"Mournful, dismal, or gloomy, especially to an exaggerated or ludicrous degree."
simian,"Relating to, characteristic of, or resembling an ape or a monkey."
adenoidal,Of or relating to the adenoids.
passible,Capable of feeling or suffering; sensitive:  a passible type of personality. 
educe,To draw or bring out; elicit. See Synonyms at evoke.
garish,Marked by strident color or excessive ornamentation; gaudy.
patrician,"A person of refined upbringing, manners, and tastes."
redolent,Having or emitting fragrance; aromatic.
corpulence,The condition of being excessively fat; obesity.
mullioned,with mullions.
vitiated,Simple past tense and past participle of vitiate.
dado,Architecture   The section of a pedestal between base and surbase.
tyronism,the condition of being a tyro
prehensile,"Adapted for seizing, grasping, or holding, especially by wrapping around an object:  a monkey's prehensile tail. "
approbation,An expression of warm approval; praise.
bilirubin,"A reddish-yellow bile pigment, C33H36N4O6, derived from the degradation of heme."
parametric,"of, relating to, or defined using parameters"
flagellants,Plural form of flagellant.
bereave,"To leave desolate or alone, especially by death: ""Cry aloud for the man who is dead, for the woman and children bereaved”  ( Alan Paton). "
diffident,Lacking or marked by a lack of self-confidence; shy and timid. See Synonyms at shy1.
strabismic,"Afflicted with, or pertaining to, strabismus."
dyad,Two individuals or units regarded as a pair:  the mother-daughter dyad. 
neurasthenic,"Of or pertaining to neurasthenia; that is, tendencies of a person who has suffered a nervous breakdown."
glabrous,"Having no hairs, projections, or pubescence; smooth:  a glabrous scalp; glabrous leaves. "
convivial,"Fond of feasting, drinking, and good company; sociable. See Synonyms at social."
temerity,Foolhardy disregard of danger; recklessness.
occluded,Simple past tense and past participle of occlude.
enfilade,"Gunfire directed along the length of a target, such as a column of troops."
serge,"A twilled cloth of worsted or worsted and wool, often used for suits."
salacious,Appealing to or stimulating sexual desire; lascivious.
rubicund,Inclined to a healthy rosiness; ruddy.
perfunctory,Done routinely and with little interest or care:  The operator answered the phone with a perfunctory greeting. 
canted,Simple past tense and past participle of cant.
figurant,A member of a corps de ballet who does not perform solos.
passable,"That can be passed, traversed, or crossed; navigable:  a passable road. "
enuresis,The uncontrolled or involuntary discharge of urine.
bucolic,Of or characteristic of the countryside or its people; rustic. See Synonyms at rural.
parietal,"Relating to or forming the wall of a body part, organ, or cavity."
immolate,To kill as a sacrifice.
diaphanous,Of such fine texture as to be transparent or translucent:  diaphanous tulle. 
accost,"To approach and speak to boldly or aggressively, as with a demand or request."
eclat,Alternative spelling of éclat. (brilliance of success or effort; splendor; brilliant show; striking effect; glory; renown.)
priapic,"Of, relating to, or resembling a phallus; phallic."
attar,A fragrant essential oil or perfume obtained from flowers:  attar of roses. 
matriculate,"To admit or be admitted into a group, especially a college or university."
votaries,Plural form of votary.
kismet,Fate; fortune.
legate,"An official emissary, especially an official representative of the pope."
comestible,Fit to be eaten; edible.
priapism,"Persistent, usually painful erection of the penis, especially as a consequence of disease and not related to sexual arousal."
annular,Shaped like or forming a ring.
candent,Having a white-hot glow; incandescent.
gelid,Very cold; icy:  gelid ocean waters.  See Synonyms at cold.
capacious,Capable of containing a large quantity; spacious or roomy. See Synonyms at spacious.
encomium,"Warm, glowing praise."
preen,To smooth or clean (feathers) with the beak or bill.
nacreous,"Of, or resembling nacre (mother of pearl)."
comely,Pleasing and wholesome in appearance; attractive. See Synonyms at beautiful.
paroxysm,A sudden outburst of emotion or action:  a paroxysm of laughter. 
dirigibles,Plural form of dirigible.
stultify,To render useless or ineffectual; cripple.
afflatus,"A strong creative impulse, especially as a result of divine inspiration."
canny,"Careful and shrewd, especially where one's own interests are concerned."
abrogate,"To abolish, do away with, or annul, especially by authority."
suborned,Simple past tense and past participle of suborn.
hackle,"Any of the long, slender, often glossy feathers on the neck of a bird, especially a male domestic fowl."
osseous,"Composed of, containing, or resembling bone; bony."
pallid,Having an abnormally pale or wan complexion:  the pallid face of the invalid. 
grange,Chiefly Northeastern U.S.   An association of farmers founded in the United States in 1867.
hangdog,Shamefaced or guilty.
lithe,Readily bent; supple:  lithe birch branches. 
elision,Omission of a final or initial sound in pronunciation.
calumny,A false statement maliciously made to injure another's reputation.
rococo,"A style of art, especially architecture and decorative art, that originated in France in the early 18th century and is marked by elaborate ornamentation, as with a profusion of scrolls, foliage, and animal forms."
lordotic,of or relating to lordosis; having an abnormal backwards curvature of the spine
lurid,Causing shock or horror; gruesome.
carouse,"To engage in boisterous, drunken merrymaking."
dilettante,A dabbler in an art or a field of knowledge. See Synonyms at amateur.
lapidary,"One who cuts, polishes, or engraves gems."
argot,A specialized vocabulary or set of idioms used by a particular group:  thieves' argot.  See Synonyms at dialect.
